Unnamed: 0,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,PRICE
18,Owner,Completed,Not Approved,2,BHK,1100.0,Ready,Resale,"Nagpur Road,Wardha",21.15389,79.08306,22.0
19,Dealer,Completed,Approved,3,BHK,2178.649237,Ready,Resale,"Kogilu,Bangalore",13.092356,77.61346800000001,120.0
20,Owner,Completed,Not Approved,2,BHK,881.1435285,Ready,Resale,,13.05,80.11,45.0
21,Dealer,Completed,Not Approved,2,BHK,944.8818898,Ready,Resale,"Undri,Pune",18.452663,73.93104,42.0
22,Dealer,Completed,Approved,3,BHK,1310.147689,Ready,Resale,"Sector-134 Noida,Noida",28.5041,77.381557,55.0
23,Dealer,Completed,Not Approved,1,BHK,630.00063,Ready,Resale,"Bandra (West),Mumbai",19.05444,72.84056,300.0
24,Dealer,Completed,Not Approved,2,BHK,1219.80971,Ready,Resale,"Narendra Nagar,Nagpur",21.105779,79.078497,50.0
25,Owner,Completed,Not Approved,2,BHK,780.141844,Ready,Resale,"Kudgat,Kolkata",22.54111,88.33778000000001,27.5
26,Owner,Completed,Not Approved,3,BHK,1600.0,Ready,Resale,"Sain Vihar,Ghaziabad",28.63601,77.433724,46.0
27,Dealer,Completed,Not Approved,2,BHK,1180.412371,Ready,Resale,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9
28,Owner,Under Construction,Not Approved,2,BHK,1000.0,Not Ready,Resale,"Mohan Asram,Deoghar",24.48,86.7,39.0
29,,Completed,Not Approved,2,BHK,1000.0,Ready,Resale,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5
30,Dealer,Completed,Not Approved,3,BHK,1400.107701,Ready,Resale,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52.0
31,,Completed,Approved,2,BHK,943.1266076,Ready,Resale,"Sector-134 Noida,Noida",28.5041,77.381557,33.0
32,Owner,Completed,Not Approved,2,BHK,1150.146382,Ready,Resale,"Indra Colony,Jaipur",26.586306,74.873234,55.0
33,Dealer,Under Construction,Approved,1,BHK,864.0674393999999,Not Ready,Resale,"Thane West,Lalitpur",19.18,72.96333,82.0
34,Dealer,Completed,Approved,2,BHK,857.7861968000001,Ready,New,"Mulund (West),Maharashtra",19.1759,72.9522,240.0
35,Owner,Completed,Not Approved,3,BHK,1174.210077,Ready,Resale,"Thalambur,Chennai",12.852171,80.216826,55.0
36,Dealer,Under Construction,Approved,2,BHK,1020.087884,Not Ready,Resale,"Wakad,Pune",18.5993,73.7625,65.0
37,Owner,Completed,Not Approved,4,BHK,1650.165017,Ready,Resale,"Vasna,Vadodara",22.312063,72.674296,65.0
38,Dealer,Under Construction,Not Approved,2,BHK,1000.0,Not Ready,Resale,"Madhurawada,Visakhapatnam",17.815234,83.35818,35.0
39,Owner,Completed,Not Approved,3,BHK,1300.052002,Ready,Resale,"Vasanthapura,Bangalore",12.894088,77.548914,75.0
40,Dealer,Under Construction,Approved,1,BHK,40606.19568,Not Ready,New,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,9110.0
41,Dealer,Completed,Approved,2,BHK,1058.114928,Ready,Resale,"Sus,Pune",18.539812,73.737678,65.0
42,Dealer,Under Construction,Not Approved,1,BHK,400.0,Not Ready,Resale,"Kharadi,Pune",18.5438,73.9438,30.0
43,Dealer,Completed,Approved,3,BHK,1274.924779,Ready,Resale,"Marol,Mumbai",22.803593,83.755013,250.0
44,Dealer,Completed,Not Approved,2,BHK,1026.694045,Ready,Resale,"Wadala East,Lalitpur",19.014858,72.8662,220.0
45,Owner,Completed,Not Approved,2,BHK,1150.121065,Ready,Resale,"Near Ambamata Mandir,Vapi",20.366670000000003,72.9,38.0
46,Owner,Completed,Not Approved,3,BHK,1200.0,Ready,Resale,"Patel Nagar-II,Ghaziabad",28.460928000000003,77.03939100000001,60.0
47,Dealer,Completed,Not Approved,1,RK,475.0103263,Ready,Resale,"Balkum,Lalitpur",24.69028,78.41889,46.0
48,Builder,Under Construction,Approved,1,BHK,301.91711630000003,Not Ready,New,"Taloja,Lalitpur",24.69028,78.41889,26.3
49,Dealer,Under Construction,Approved,2,BHK,1228.571429,Not Ready,Resale,"Bolar,Mangalore",12.843852,74.845271,51.6
50,Owner,Completed,Not Approved,2,BHK,986.0164934,Ready,Resale,"Ayanambakkam,Chennai",13.077175,80.151453,55.0
51,Dealer,Under Construction,Approved,3,BHK,1972.565158,Not Ready,Resale,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9
52,Dealer,Under Construction,Approved,1,BHK,420.6166888,Not Ready,Resale,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130.0
53,Owner,Completed,Not Approved,3,BHK,1275.009808,Ready,Resale,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5
54,Dealer,Under Construction,Approved,1,BHK,406.024219,Not Ready,New,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9
55,Dealer,Completed,Not Approved,3,BHK,1862.562189,Ready,Resale,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9
56,Owner,Completed,Not Approved,2,BHK,950.0146156,Ready,Resale,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65.0
57,Owner,Completed,Approved,4,BHK,5200.945626,Ready,Resale,"Sector-76 Noida,Noida",28.567633,77.383124,110.0
58,Dealer,Completed,Not Approved,2,BHK,1049.969344,Ready,Resale,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5
59,Dealer,Completed,Not Approved,3,BHK,1615.008157,Ready,Resale,"Maniktala,Kolkata",22.589694,88.372957,99.0
60,Dealer,Completed,Not Approved,3,BHK,1150.0069,Ready,Resale,"Wadala East,Lalitpur",19.014858,72.8662,250.0
61,Owner,Completed,Not Approved,2,,1100.0,Ready,Resale,"Jhotwara,Jaipur",26.955346,75.73479300000001,27.5
62,Dealer,Under Construction,Approved,2,BHK,906.2661833,Not Ready,New,"Balkum,Lalitpur",24.69028,78.41889,70.0
63,Owner,Completed,Not Approved,3,BHK,1454.333915,Ready,Resale,"Poolakkaparambu,Ottapalam",10.77,76.38,50.0
64,Owner,Completed,Not Approved,3,BHK,1591.994542,Ready,Resale,"Sector-137 Noida,Noida",28.506454,77.40956800000001,70.0
65,Dealer,Completed,Approved,2,BHK,573.8769151,Ready,Resale,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1
66,Dealer,Completed,Approved,3,BHK,1038.883942,Ready,Resale,"Powai,Mumbai",19.12,72.91,280.0
67,Owner,Completed,Not Approved,3,BHK,1538.141758,Ready,Resale,"Yelahanka,Bangalore",13.11389,77.59833,74.0
68,Owner,Completed,Not Approved,2,BHK,5000.0,Ready,Resale,"Malviya Nagar,Jaipur",26.850391,75.814198,85.0
69,Dealer,Completed,Not Approved,3,BHK,1602.084012,Ready,Resale,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2
70,Owner,Completed,Not Approved,2,BHK,1200.0,Ready,Resale,"Madhuranagar,Vijayawada",16.51667,80.61667,45.0
71,Owner,Completed,Not Approved,2,BHK,760.0709400000001,Ready,Resale,"Tilakwadi,Belgaum",15.86667,74.5,60.0
72,Owner,Under Construction,Not Approved,2,BHK,739.8273736000001,Not Ready,Resale,"tallaiya,Bhopal",23.25,77.41667,30.0
73,Owner,Completed,Not Approved,2,BHK,1260.02291,Ready,Resale,"Mulki,Mangalore",13.0915,74.7844,33.0
74,Owner,Completed,Not Approved,2,BHK,1100.151745,Ready,Resale,"Manewada,Nagpur",21.093676,79.111965,29.0
75,Dealer,Completed,Approved,3,BHK,2293.077091,Ready,Resale,"Kharadi,Pune",18.5438,73.9438,210.0
76,Dealer,Completed,Not Approved,2,BHK,1146.480331,Ready,Resale,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6
77,Dealer,Completed,Approved,4,BHK,2224.059764,Ready,Resale,"Goregaon (East),Lalitpur",19.1615,72.8731,780.0
78,Dealer,Completed,Not Approved,2,BHK,759.8784195000001,Ready,Resale,"Joka,Kolkata",22.452032,88.298947,30.0
79,Owner,Completed,Not Approved,4,BHK,2260.251857,Ready,Resale,"Wilson Garden,Bangalore",12.9506,77.5952,140.0
80,Dealer,Completed,Not Approved,3,BHK,767.0182167,Ready,Resale,"DN Nagar,Maharashtra",20.742166,80.104602,240.0
81,Owner,Completed,Not Approved,4,BHK,2500.0,Ready,Resale,"Ramprastha,Ghaziabad",28.66667,77.41667,160.0
82,Dealer,Under Construction,Approved,4,BHK,2286.236854,Not Ready,Resale,"Gomti Nagar Extension,Lucknow",21.0,77.0,100.0
83,Owner,Completed,Approved,2,BHK,1150.086256,Ready,Resale,"Sector-74 Noida,Noida",28.577673,77.389781,60.0
84,Dealer,Completed,Approved,2,BHK,1004.932182,Ready,Resale,"New Panvel,Mumbai",18.966114,73.148278,81.5
85,Owner,Completed,Not Approved,2,BHK,800.0,Ready,Resale,"Prantik,Kolkata",22.56972,88.36972,34.0
86,Dealer,Under Construction,Not Approved,3,BHK,993.75,Not Ready,Resale,"Subhas Pally,Siliguri",26.706157,88.439748,31.8
87,Dealer,Completed,Not Approved,2,BHK,1298.139334,Ready,Resale,,23.169982,77.477889,30.0
88,Dealer,Completed,Approved,2,BHK,996.797438,Ready,Resale,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9
89,Owner,Completed,Not Approved,2,BHK,985.0194952,Ready,Resale,"CV Raman Nagar,Bangalore",12.98556,77.66389000000001,48.0
90,Dealer,Completed,Not Approved,3,BHK,1118.75,Ready,Resale,"Medavakkam,Chennai",12.91716,80.19287,53.7
91,Dealer,Completed,Approved,2,BHK,889.8305085000001,Ready,Resale,"Sector-137 Noida,Noida",28.506454,77.40956800000001,42.0
92,Owner,Completed,Not Approved,3,BHK,2738.22563,Ready,Resale,"Basapura,Bangalore",12.863421,77.652405,150.0
93,Dealer,Under Construction,Approved,4,BHK,1725.4901960000002,Not Ready,New,"Deonar,Maharashtra",19.049513,72.91920400000001,440.0
94,Dealer,Under Construction,Approved,3,BHK,2488.004265,Not Ready,Resale,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,140.0
95,Dealer,Completed,Not Approved,3,BHK,1200.082764,Ready,Resale,"Satgachi,Kolkata",23.207157,88.404471,58.0
96,Dealer,Completed,Not Approved,2,BHK,1584.283904,Ready,Resale,"Tilak Nagar,Kanpur",26.459137,79.506922,100.0
97,Owner,Completed,Not Approved,2,BHK,900.0,Ready,Resale,"Kalol,Gandhinagar",23.2257,72.51679,18.0
98,Dealer,Completed,Approved,2,BHK,1193.440032,Ready,Resale,"Talegaon,Pune",18.441256,74.647361,60.4
99,Owner,Completed,Not Approved,2,BHK,1487.357462,Ready,Resale,"Mansarovar Extension,Jaipur",26.8626,75.7633,30.0
100,Owner,Under Construction,Approved,2,BHK,989.9029895,Not Ready,Resale,"Sector-143 Noida,Noida",28.5035,77.426447,50.0
101,Dealer,Completed,Not Approved,2,BHK,1155.020213,Ready,Resale,"Bhandup (West),Maharashtra",19.147866,72.932609,140.0
102,Owner,Completed,Not Approved,2,BHK,949.893137,Ready,Resale,"Eswaran Koil Street,Pondicherry",11.93,79.83,80.0
103,Owner,Completed,Not Approved,2,BHK,875.0,Ready,Resale,"Sector-78 Noida,Noida",28.560719,77.386208,49.0
104,Dealer,Completed,Not Approved,2,BHK,853.3611982000001,Ready,Resale,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5
105,Owner,Completed,Not Approved,1,BHK,483.0917874,Ready,Resale,"Roha,Raigad",18.4543,73.1147,18.0
106,Dealer,Completed,Not Approved,2,BHK,800.0,Ready,Resale,"Thane West,Maharashtra",19.18,72.96333,95.0
107,Owner,Completed,Not Approved,2,BHK,802.0415602999999,Ready,Resale,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22.0
108,Dealer,Completed,Approved,2,BHK,610.0660905,Ready,Resale,"Koyambedu,Chennai",13.069866,80.19842299999999,48.0
109,Owner,Completed,Not Approved,3,BHK,1680.107527,Ready,Resale,"Naveen Nagar,Kanpur",28.861993,78.756315,75.0
110,Owner,Completed,Not Approved,2,BHK,1150.136038,Ready,Resale,"Nirman Nagar,Jaipur",19.980678,79.297436,93.0
111,Owner,Completed,Not Approved,3,BHK,1550.114497,Ready,Resale,"Sector-75 Noida,Noida",28.576117,77.382136,88.0
112,Owner,Completed,Not Approved,5,BHK,1699.834163,Ready,Resale,"Sahibabad,Ghaziabad",28.6711,77.3683,82.0
113,Owner,Under Construction,Not Approved,3,BHK,1600.170685,Not Ready,Resale,"Tripunithura,Kochi",9.952439,76.36329649999999,75.0
114,Owner,Completed,Not Approved,1,BHK,600.0566091,Ready,Resale,"Pen,Raigad",18.75,73.08,21.2
115,Dealer,Completed,Approved,2,BHK,1429.200617,Ready,Resale,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9
116,Owner,Completed,Not Approved,2,BHK,1115.1379980000002,Ready,Resale,"Dodda Banaswadi,Bangalore",13.008071,77.65129499999999,80.0
117,Dealer,Completed,Not Approved,4,BHK,2750.929368,Ready,Resale,"Sikandra,Agra",27.216013,77.950834,74.0
118,Owner,Completed,Not Approved,3,BHK,1811.196487,Ready,Resale,"Kanke,Ranchi",23.35556,85.33471999999999,99.0
119,Owner,Completed,Not Approved,2,BHK,1045.036079,Ready,Resale,"Narendrapur,Kolkata",22.43917,88.39583,42.0
120,Dealer,Completed,Not Approved,3,BHK,3433.996566,Ready,Resale,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,340.0
121,Owner,Completed,Not Approved,3,BHK,1298.219585,Ready,Resale,"Electronics City Phase 1,Bangalore",12.840956,77.659441,70.0
122,Owner,Under Construction,Approved,2,BHK,1109.165207,Not Ready,Resale,"Katapady,Udupi",13.278237,74.747328,38.0
123,Dealer,Under Construction,Approved,4,BHK,1304.034182,Not Ready,New,"Kanchpada,Maharashtra",18.96,72.82,470.0
124,Dealer,Completed,Approved,2,BHK,1041.195111,Ready,Resale,"Sector-70 Noida,Noida",28.59632,77.38143000000001,46.0
125,Dealer,Completed,Not Approved,3,BHK,2135.748916,Ready,Resale,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000001,83.7
126,Owner,Completed,Approved,3,BHK,1850.180505,Ready,Resale,"Noida Extension,Noida",28.579004,77.431173,82.0
127,Dealer,Completed,Not Approved,3,BHK,1665.080875,Ready,Resale,"Kudasan,Gandhinagar",23.166495,72.63429000000001,70.0
128,Owner,Completed,Approved,2,BHK,398.2621289,Ready,Resale,"Purseni,Lucknow",26.707154,80.98234599999999,11.0
129,Owner,Completed,Not Approved,2,BHK,1005.025126,Ready,Resale,"Chandapura,Bangalore",12.80009,77.71181999999999,48.0
130,Dealer,Completed,Approved,4,BHK,4900.959771,Ready,Resale,"Kharadi,Pune",18.5438,73.9438,240.0
131,Dealer,Completed,Approved,2,BHK,1294.016156,Ready,Resale,"4 Bunglows,Mumbai",19.128324,72.825408,330.0
132,Dealer,Completed,Approved,3,BHK,1536.806516,Ready,Resale,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,100.0
133,Owner,Completed,Not Approved,2,BHK,1123.188406,Ready,Resale,"Kaggadasapura,Bangalore",12.9816,77.6729,62.0
134,Dealer,Completed,Not Approved,2,BHK,800.1939864,Ready,Resale,"Jhotwara,Jaipur",26.955346,75.73479300000001,16.5
135,Dealer,Completed,Approved,4,BHK,2655.807365,Ready,Resale,"Manpada,Maharashtra",19.239813,72.962722,300.0
136,Dealer,Completed,Not Approved,3,BHK,1513.775356,Ready,Resale,"JP Nagar,Bangalore",12.905368,77.580403,100.0
137,Owner,Completed,Not Approved,3,BHK,1280.0,Ready,Resale,"Ponekkara,Kochi",9.930471,76.271273,48.0
138,Owner,Completed,Not Approved,1,BHK,410.0678733,Ready,Resale,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,14.5
139,Dealer,Completed,Not Approved,4,BHK,3429.355281,Ready,Resale,"Vasna Road,Vadodara",22.312063,72.674296,100.0
140,Dealer,Completed,Not Approved,2,BHK,890.0451868999999,Ready,Resale,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,65.0
141,Owner,Completed,Not Approved,2,BHK,977.7082519,Ready,Resale,"Bicholi Mardana,Indore",22.1764,75.8193,25.0
142,Dealer,Completed,Not Approved,2,BHK,1099.855282,Ready,Resale,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,38.0
143,Owner,Under Construction,Not Approved,2,BHK,1050.241272,Not Ready,Resale,"Paota,Jodhpur",26.29564,73.03943000000001,37.0
144,Dealer,Completed,Approved,3,BHK,1400.241838,Ready,Resale,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,57.9
145,Dealer,Completed,Not Approved,3,BHK,1740.139211,Ready,Resale,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,180.0
146,Dealer,Completed,Approved,2,BHK,1149.131767,Ready,Resale,"Marol,Lalitpur",24.69028,78.41889,180.0
147,Dealer,Completed,Not Approved,2,BHK,650.1950585,Ready,Resale,"Vadavalli,Coimbatore",11.026678,76.903583,20.0
148,Owner,Completed,Not Approved,2,BHK,1355.01355,Ready,Resale,"Gopalpura Bypass,Jaipur",26.878068,75.77985600000001,85.0
149,Dealer,Completed,Not Approved,3,BHK,1800.0720030000002,Ready,Resale,"Rasanna Colony,Bangalore",12.96991,77.59796,150.0
150,Dealer,Completed,Approved,2,BHK,907.6305221,Ready,Resale,"Taloja,Maharashtra",21.56128,74.21238000000001,33.9
151,Dealer,Completed,Not Approved,3,BHK,1636.296021,Ready,Resale,"Budigere,Bangalore",13.141581,77.749756,88.0
152,Owner,Completed,Not Approved,2,BHK,900.2520706,Ready,Resale,"Tarsali,Vadodara",22.261354,73.215533,25.0
153,Owner,Completed,Not Approved,2,BHK,1318.0440230000002,Ready,Resale,"Doddakannelli,Bangalore",12.905538,77.694263,100.0
154,Dealer,Completed,Approved,3,BHK,1949.586451,Ready,Resale,"Sector-88 Mohali,Mohali",30.684523,76.691728,99.0
155,Dealer,Completed,Not Approved,3,,1643.36522,Ready,Resale,"Kakkanad,Kochi",9.930471,76.271273,67.0
156,Dealer,Completed,Not Approved,3,BHK,1233.045623,Ready,Resale,"Kanjur Marg (East),Maharashtra",18.96,72.82,210.0
157,Dealer,Completed,Not Approved,1,BHK,655.0802139,Ready,Resale,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,49.0
158,Owner,Completed,Not Approved,2,BHK,1180.173092,Ready,Resale,"Ferrar Nagar,Bangalore",12.96991,77.59796,75.0
159,Owner,Completed,Not Approved,3,BHK,1200.087279,Ready,Resale,"Sahibabad,Ghaziabad",28.6711,77.3683,55.0
160,Dealer,Completed,Not Approved,4,BHK,6974.645114,Ready,Resale,"New Alipore,Kolkata",22.53028,88.33417,1700.0
161,Owner,Under Construction,Approved,4,BHK,2700.075602,Not Ready,Resale,"Sector-98 Noida,Noida",28.535689,77.35967099999999,250.0
162,Owner,Completed,Not Approved,2,BHK,850.0991782,Ready,Resale,"Ajmer Road,Jaipur",26.928785,75.828002,30.0
163,Dealer,Under Construction,Approved,4,BHK,2636.296531,Not Ready,Resale,"Konanakunte,Bangalore",12.8855,77.5638,250.0
164,Owner,Completed,Not Approved,2,BHK,900.0163639,Ready,Resale,"Roopena Agrahara,Bangalore",12.928575,77.58572099999999,55.0
165,Dealer,Under Construction,Not Approved,4,BHK,2472.952087,Not Ready,Resale,"NIBM,Pune",18.475864,73.89000899999999,160.0
166,Dealer,Completed,Not Approved,2,BHK,904.0656205,Ready,Resale,"Suraksha Nagar,Bangalore",20.098413,79.10786,50.7
167,Dealer,Under Construction,Approved,1,BHK,265.0033933,Not Ready,Resale,"Andheri (East),Lalitpur",19.1145,72.8712,82.0
168,Dealer,Under Construction,Approved,3,BHK,1570.306924,Not Ready,Resale,"Tonk Road,Jaipur",26.16667,75.78333,110.0
169,Dealer,Completed,Not Approved,2,BHK,955.4140127,Ready,Resale,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,150.0
170,Dealer,Completed,Not Approved,2,BHK,1000.0,Ready,Resale,"Sector-53 Noida,Noida",28.593566,77.362752,60.0
171,Dealer,Completed,Not Approved,4,BHK,2494.747899,Ready,Resale,"Kadugodi,Bangalore",12.995285,77.766797,95.0
172,Owner,Completed,Not Approved,2,BHK,1150.130348,Ready,Resale,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,75.0
173,Dealer,Completed,Not Approved,2,BHK,1210.136674,Ready,Resale,"Kamothe,Mumbai",19.0168,73.09646,85.0
174,Dealer,Completed,Not Approved,2,BHK,1365.001365,Ready,Resale,"Sector-11 Ghansoli,Mumbai",19.126499,72.99956,200.0
175,Dealer,Under Construction,Approved,2,BHK,499.6366279,Not Ready,New,"Hiranandani Estate,Maharashtra",19.255098,72.9815265,110.0
176,Dealer,Completed,Not Approved,2,BHK,1050.144395,Ready,Resale,"Manjalpur,Vadodara",22.271214,73.188827,40.0
177,Owner,Completed,Not Approved,1,BHK,476.0204688999999,Ready,Resale,"Madanandapuram,Chennai",13.020957,80.152774,40.0
178,Dealer,Completed,Not Approved,2,BHK,985.452839,Ready,Resale,"Hajipur,Noida",28.538774,77.366515,21.0
179,Dealer,Completed,Not Approved,2,BHK,1045.296167,Ready,Resale,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,24.0
180,Dealer,Under Construction,Approved,2,BHK,1301.89498,Not Ready,Resale,"Sarjapur Road,Bangalore",12.86,77.786,90.0
181,Owner,Completed,Not Approved,2,BHK,2000.0,Ready,Resale,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,38.0
182,Dealer,Under Construction,Approved,4,BHK,4465.709729,Not Ready,Resale,"Sector-108 Noida,Noida",28.526624,77.37671800000001,280.0
183,Dealer,Completed,Not Approved,2,BHK,1192.0,Ready,Resale,"Nayapalli,Bhubaneswar",20.286571,85.810906,59.6
184,Dealer,Under Construction,Not Approved,3,BHK,1846.153846,Not Ready,New,"New Town,Kolkata",22.5922,88.484911,120.0
185,Dealer,Under Construction,Not Approved,1,BHK,448.5310608,Not Ready,Resale,"Kanjur Marg (East),Mumbai",19.221571,73.042474,120.0
186,Owner,Completed,Not Approved,2,BHK,750.0604887000001,Ready,Resale,"Gyan Khand 2,Ghaziabad",28.66667,77.41667,31.0
187,Dealer,Completed,Not Approved,2,BHK,1060.0706710000002,Ready,Resale,"Roadpali,Maharashtra",19.040066,73.115347,72.0
188,Dealer,Completed,Approved,3,BHK,1415.09434,Ready,Resale,"Electronic City Phase II,Bangalore",12.8458,77.6727,79.5
189,Dealer,Completed,Not Approved,2,BHK,1160.062565,Ready,Resale,"Sector-35G Kharghar,Maharashtra",18.96,72.82,89.0
190,Dealer,Completed,Not Approved,3,BHK,1690.024732,Ready,Resale,"Goregaon (East),Lalitpur",19.1615,72.8731,410.0
191,Owner,Under Construction,Not Approved,3,BHK,1672.762741,Not Ready,Resale,"Sector-143B Noida,Noida",28.495803,77.42684799999999,68.6
192,Owner,Completed,Not Approved,2,BHK,1315.265046,Ready,Resale,"RM Park,Valsad",20.606469,72.913465,33.0
193,Dealer,Completed,Not Approved,1,BHK,650.026001,Ready,Resale,"Kalyan (West),Mumbai",19.245347,73.124577,50.0
194,Owner,Completed,Not Approved,1,BHK,540.1755571,Ready,Resale,"Saphale,Palghar",19.585537,72.83686800000001,16.0
195,Dealer,Completed,Not Approved,3,BHK,1830.065359,Ready,Resale,"Suraksha Nagar,Bangalore",20.098413,79.10786,98.0
196,Dealer,Completed,Not Approved,3,BHK,1575.157516,Ready,Resale,"Judges Enclave,Ghaziabad",28.66667,77.41667,70.0
197,Dealer,Completed,Not Approved,3,BHK,1530.0,Ready,Resale,"Harlur Road,Bangalore",12.904179,77.665897,76.5
198,Owner,Completed,Not Approved,2,BHK,619.6377502,Ready,Resale,"Byagadadhenahalli,Bangalore",12.758604,77.700377,26.0
199,Owner,Completed,Not Approved,4,BHK,2200.0,Ready,Resale,"Citylight Area,Surat",21.17,72.83,110.0
200,,Completed,Not Approved,3,BHK,1757.188498,Ready,Resale,"Action Area IID,Kolkata",40.67197199,-86.15292909,77.0
201,Dealer,Completed,Approved,2,BHK,1087.885617,Ready,Resale,"Manpada,Mumbai",19.239813,72.962722,140.0
202,Owner,Completed,Not Approved,2,BHK,1199.862873,Ready,Resale,"Doddakallasandra,Bangalore",12.880993,77.557654,70.0
203,Owner,Completed,Not Approved,2,BHK,1265.035255,Ready,Resale,"Bhuvaneshwari Nagar,Bangalore",13.033421,77.603954,61.0
204,Dealer,Completed,Not Approved,2,BHK,676.0453302,Ready,Resale,"Ganganagar,Kolkata",22.301625,88.242147,17.3
205,Owner,Completed,Not Approved,2,BHK,800.0,Ready,Resale,"Mohan Nagar,Ghaziabad",28.678014,77.38296,42.0
206,Owner,Completed,Not Approved,2,BHK,750.0750075,Ready,Resale,"Maheshtala,Kolkata",22.486821,88.233267,25.0
207,Dealer,Completed,Approved,2,BHK,1500.0,Ready,New,"Anna Nagar West,Chennai",13.086769,80.191135,150.0
208,Dealer,Completed,Not Approved,3,BHK,1814.285714,Ready,Resale,"Khandagiri,Bhubaneswar",20.257483,85.780142,88.9
