Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,2,2,Sales Executive,,Single,24668.0,7,Y,No,11,3,4.0,80,0,20,,4,1
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,3,1,Research Scientist,2.0,Married,4956.0,0,Y,No,23,4,,80,1,6,3.0,5,0
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,3,1,Research Scientist,2.0,Single,18775.0,1,Y,No,17,3,2.0,80,0,1,3.0,1,1
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,3,2,Research Scientist,,Married,7346.0,1,Y,No,17,3,2.0,80,2,10,3.0,10,0
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,4,1,Laboratory Technician,,Married,22002.0,3,Y,No,12,3,2.0,80,0,5,3.0,1,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,3,2,Manufacturing Director,4.0,Single,20682.0,1,Y,No,23,4,4.0,80,0,11,3.0,11,1
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,2,2,Sales Executive,1.0,Single,23016.0,0,Y,No,14,3,2.0,80,0,16,,15,2
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,3,3,Research Director,,Married,15067.0,4,Y,Yes,14,3,2.0,80,0,17,4.0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,3,3,Research Director,3.0,Single,25258.0,4,Y,No,13,3,1.0,80,0,16,4.0,5,0
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,3,2,Human Resources,2.0,Divorced,,8,Y,Yes,22,4,4.0,80,1,16,3.0,4,0
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,2,2,Laboratory Technician,,Married,15998.0,1,Y,Yes,12,3,3.0,80,2,10,2.0,10,3
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,2,1,Research Scientist,3.0,Single,26278.0,1,Y,No,18,3,1.0,80,0,6,3.0,6,0
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,3,3,Sales Executive,4.0,Married,18092.0,3,Y,No,14,3,4.0,80,1,24,3.0,1,1
38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,1,2,Research Scientist,4.0,Divorced,15717.0,7,Y,Yes,12,3,4.0,80,3,17,3.0,13,1
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,3,2,Manufacturing Director,2.0,Married,,1,Y,No,15,3,3.0,80,0,5,3.0,5,1
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,1,3,Manufacturing Director,4.0,Single,21698.0,4,Y,No,11,3,1.0,80,0,37,2.0,6,0
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,3,1,Sales Representative,1.0,Divorced,9518.0,3,Y,No,13,3,3.0,80,1,3,3.0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,3,1,Laboratory Technician,,Married,18725.0,3,Y,No,23,4,2.0,80,2,10,3.0,4,0
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,2,2,Healthcare Representative,,Married,15830.0,1,Y,No,19,3,1.0,80,3,11,3.0,11,10
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,2,3,Sales Executive,4.0,Single,13596.0,1,Y,No,16,3,4.0,80,0,9,3.0,9,4
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,2,4,Healthcare Representative,,Married,14115.0,1,Y,No,22,4,4.0,80,1,22,2.0,22,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,3,2,Sales Executive,4.0,Single,8423.0,0,Y,Yes,22,4,4.0,80,0,11,1.0,10,1
30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,2,2,Sales Executive,2.0,Divorced,19760.0,1,Y,Yes,12,3,2.0,80,3,11,2.0,11,2
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,2,3,Healthcare Representative,,Married,3142.0,2,Y,Yes,13,3,3.0,80,1,21,2.0,10,9
32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,3,2,Sales Executive,3.0,Single,24301.0,1,Y,No,16,3,1.0,80,0,12,3.0,11,5
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,3,3,Research Director,,Married,24001.0,9,Y,No,12,3,1.0,80,1,16,1.0,4,0
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,3,2,Sales Executive,3.0,Married,17519.0,0,Y,No,21,4,1.0,80,1,4,2.0,3,0
28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,3,2,Sales Executive,,Married,8863.0,1,Y,No,15,3,2.0,80,0,5,4.0,5,0
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,3,4,Sales Executive,3.0,Single,24409.0,0,Y,No,13,3,3.0,80,0,38,2.0,37,1
44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,3,2,Laboratory Technician,2.0,Married,,4,Y,No,12,3,3.0,80,1,17,4.0,3,1
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,3,1,Human Resources,1.0,Divorced,23648.0,4,Y,Yes,22,4,4.0,80,0,7,3.0,3,0
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,3,1,Research Scientist,1.0,Single,15178.0,1,Y,No,13,3,4.0,80,0,1,3.0,1,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,2,1,Laboratory Technician,,Single,19783.0,1,Y,Yes,18,3,2.0,80,0,1,3.0,1,1
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,3,2,Research Scientist,3.0,Single,12482.0,1,Y,No,14,3,3.0,80,0,16,3.0,16,2
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,2,2,Healthcare Representative,4.0,Divorced,15850.0,5,Y,No,14,3,4.0,80,1,17,4.0,1,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,2,5,Manager,4.0,Married,21922.0,9,Y,No,21,4,4.0,80,1,30,3.0,3,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,3,5,Research Director,,Married,9755.0,3,Y,Yes,19,3,1.0,80,0,28,2.0,8,0
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,2,2,Sales Executive,3.0,Single,26959.0,1,Y,Yes,11,3,4.0,80,0,6,3.0,6,0
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,2,1,Research Scientist,,Married,26897.0,1,Y,No,11,3,3.0,80,2,2,3.0,2,2
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,3,1,Laboratory Technician,4.0,Single,23785.0,1,Y,No,15,3,3.0,80,0,1,3.0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,2,3,Healthcare Representative,1.0,Single,25796.0,3,Y,No,20,4,3.0,80,0,23,2.0,13,12
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,1,2,Laboratory Technician,,Single,22887.0,1,Y,Yes,24,4,4.0,80,0,9,3.0,9,0
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,4,4,Manager,4.0,Single,13871.0,2,Y,Yes,12,3,3.0,80,0,23,3.0,5,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,3,1,Laboratory Technician,3.0,Married,13257.0,0,Y,No,12,3,3.0,80,1,6,3.0,5,1
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,2,2,Research Scientist,2.0,Divorced,15000.0,6,Y,No,15,3,,80,1,12,3.0,1,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,3,3,Sales Executive,4.0,Single,14506.0,2,Y,No,12,3,1.0,80,0,12,,5,1
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,2,3,Manager,1.0,Single,5615.0,2,Y,No,12,3,,80,0,14,3.0,11,5
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,Female,3,3,Sales Executive,4.0,Married,22952.0,0,Y,No,14,3,3.0,80,1,10,3.0,9,2
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,Female,3,1,Laboratory Technician,4.0,Divorced,2561.0,5,Y,No,22,4,1.0,80,1,7,3.0,1,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,3,Male,3,4,Manager,4.0,Married,19494.0,1,Y,Yes,12,3,4.0,80,2,25,4.0,25,4
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,Male,1,1,Research Scientist,,Divorced,22310.0,1,Y,No,25,4,3.0,80,3,10,2.0,10,0
33,No,Non-Travel,750,Sales,22,2,Marketing,1,160,3,Male,3,2,Sales Executive,2.0,Married,15480.0,0,Y,No,13,3,1.0,80,1,8,4.0,7,0
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,2,Female,3,1,Research Scientist,,Married,4510.0,9,Y,Yes,18,3,1.0,80,3,7,3.0,5,4
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,3,5,Research Director,3.0,Single,6462.0,7,Y,No,13,3,3.0,80,0,23,,20,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,1,163,2,Male,1,2,Sales Executive,,Married,20739.0,4,Y,Yes,18,3,2.0,80,0,12,,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,1,164,3,Female,2,1,Research Scientist,2.0,Married,23300.0,1,Y,No,19,3,3.0,80,0,5,2.0,5,4
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,1,165,4,Female,3,3,Healthcare Representative,,Married,3465.0,1,Y,No,12,3,4.0,80,1,40,2.0,40,15
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,3,1,Sales Representative,3.0,Single,26820.0,1,Y,Yes,19,3,4.0,80,0,0,2.0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,1,169,3,Male,3,1,Laboratory Technician,4.0,Married,19299.0,0,Y,No,14,3,3.0,80,1,3,3.0,2,2
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,1,170,3,Female,3,2,Manufacturing Director,1.0,Married,5549.0,1,Y,No,14,3,3.0,80,0,16,2.0,15,5
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,171,2,Female,4,1,Research Scientist,,Single,16090.0,4,Y,No,12,3,4.0,80,0,18,3.0,3,1
50,No,Travel_Frequently,809,Sales,12,3,Marketing,1,174,3,Female,3,3,Sales Executive,,Single,6645.0,4,Y,No,11,3,4.0,80,0,16,3.0,2,2
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,1,175,2,Female,1,2,Sales Executive,3.0,Married,24788.0,3,Y,Yes,11,3,3.0,80,1,4,3.0,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,176,3,Male,3,3,Sales Executive,3.0,Divorced,21196.0,3,Y,Yes,13,3,3.0,80,1,12,3.0,9,0
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,1,177,3,Female,3,1,Human Resources,3.0,Married,8916.0,1,Y,No,23,4,4.0,80,1,8,3.0,8,5
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,1,178,2,Male,3,2,Manufacturing Director,,Divorced,2819.0,6,Y,No,20,4,,80,2,7,3.0,3,0
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,179,1,Male,1,3,Manufacturing Director,,Single,25150.0,2,Y,No,15,3,4.0,80,0,18,3.0,4,0
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,182,4,Female,2,2,Sales Executive,3.0,Married,14590.0,4,Y,No,14,3,3.0,80,1,17,4.0,15,5
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,2,2,Sales Executive,,Married,24835.0,2,Y,No,18,3,4.0,80,0,6,3.0,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,1,184,3,Male,3,2,Human Resources,,Married,13982.0,0,Y,Yes,19,3,4.0,80,0,12,1.0,11,4
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,1,190,1,Female,3,1,Laboratory Technician,1.0,Single,10224.0,7,Y,No,22,4,1.0,80,0,10,4.0,5,0
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,1,192,3,Male,3,1,Research Scientist,,Single,9752.0,5,Y,No,13,3,2.0,80,0,9,,6,0
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,1,193,4,Female,3,2,Research Scientist,3.0,Single,2302.0,3,Y,Yes,20,4,2.0,80,0,19,3.0,3,2
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,1,194,1,Female,3,1,Research Scientist,3.0,Single,23910.0,1,Y,No,14,3,,80,0,5,2.0,5,0
32,No,Travel_Frequently,689,Sales,9,2,Medical,1,195,4,Male,1,2,Sales Executive,,Divorced,22812.0,0,Y,No,17,3,4.0,80,3,9,4.0,8,0
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,1,197,4,Female,3,1,Research Scientist,1.0,Divorced,10415.0,5,Y,No,14,3,4.0,80,1,8,3.0,3,2
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,1,198,2,Male,2,1,Laboratory Technician,,Single,11162.0,0,Y,No,13,3,4.0,80,0,6,3.0,5,1
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,1,199,4,Male,2,4,Manager,1.0,Divorced,12888.0,4,Y,No,13,3,2.0,80,1,21,2.0,7,7
